,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
155,1072171,0.0,True,Bos en Lommer,52.37729,4.86053,Entire home/apt,4,2,2,10,107.0,7,365,True,0,0,4.33,True,26.75,749.0,0.07,0.14,0.17,4.99,0.4246575342465753,535.6164383561644
156,1085099,0.67,True,Bos en Lommer,52.37839,4.84853,Entire home/apt,4,2,2,10,200.0,2,60,True,0,0,4.8,True,50.0,400.0,0.11,0.2,0.27,4.99,0.0,1000.0
157,1086795,1.0,True,Centrum-Oost,52.36218,4.89768,Private room,2,1,1,11,193.0,3,365,True,3,1,4.63,True,96.5,579.0,0.09,0.23,0.21,4.99,0.4188034188034188,1589.594017094017
158,1088859,0.5700000000000001,True,De Baarsjes - Oud-West,52.36688,4.87684,Entire home/apt,2,1,1,4,110.0,3,30,True,0,1,4.87,True,55.0,330.0,0.07,0.17,0.18,4.99,0.010958904109589041,550.0
159,1095819,0.0,True,Oud-Oost,52.35696,4.92971,Entire home/apt,3,2,2,3,180.0,3,10,True,0,0,4.82,True,60.0,540.0,0.07,0.2,0.22,4.99,0.0,817.3972602739726
160,1102846,0.9,True,Centrum-Oost,52.36474,4.90273,Entire home/apt,3,2,2,5,180.0,3,21,True,0,0,4.68,True,60.0,540.0,0.07,0.14,0.15,4.99,0.0027397260273972603,900.0
161,1104125,1.0,True,De Baarsjes - Oud-West,52.36603,4.86833,Entire home/apt,2,1,1,11,125.0,7,21,True,5,3,4.86,True,62.5,875.0,0.06,0.21,0.2,4.99,0.0136986301369863,625.0
162,1105924,0.5,True,Watergraafsmeer,52.35339,4.94237,Entire home/apt,4,2,3,13,250.0,4,1125,True,1,0,4.4,True,62.5,1000.0,0.09,0.24,0.26,4.99,0.019178082191780823,1250.0
163,1113862,,True,De Pijp - Rivierenbuurt,52.35174,4.89701,Entire home/apt,2,1,2,2,85.0,5,14,True,0,0,4.75,True,42.5,425.0,0.07,0.09,0.15,4.99,0.0,482.32876712328766
164,1116446,1.0,True,Bos en Lommer,52.37871,4.84688,Private room,2,1,1,1,74.0,1,360,True,1,0,4.25,True,37.0,74.0,0.06,0.11,0.16,2.99,0.2938388625592417,330.49763033175356
165,1132247,0.67,True,Westerpark,52.39054,4.88886,Entire home/apt,4,2,4,9,325.0,3,1125,True,0,0,4.81,True,81.25,975.0,0.12,0.18,0.32,4.99,0.7561643835616438,1625.0
166,1145866,0.96,True,Bos en Lommer,52.37802,4.84513,Private room,2,1,2,7,85.0,1,60,True,7,2,4.65,True,42.5,85.0,0.05,0.08,0.15,4.99,0.288135593220339,444.70338983050846
167,1149694,,True,Bos en Lommer,52.38231,4.84866,Entire home/apt,2,1,1,7,75.0,3,365,True,0,0,4.19,True,37.5,225.0,0.07,0.14,0.16,4.99,0.0,442.24657534246575
168,1155251,0.13,True,Centrum-West,52.38295,4.88854,Entire home/apt,2,1,1,11,135.0,7,180,True,3,1,4.83,True,67.5,945.0,0.09,0.18,0.14,4.99,0.5013698630136987,520.4794520547945
169,1155386,0.0,True,De Pijp - Rivierenbuurt,52.34227,4.91217,Entire home/apt,2,1,2,7,99.0,6,14,True,0,0,4.72,True,49.5,594.0,0.05,0.12,0.16,4.99,0.4383561643835616,499.3150684931507
170,1156220,0.5,True,De Baarsjes - Oud-West,52.36874,4.86693,Entire home/apt,4,2,4,16,300.0,2,21,True,0,0,5.0,True,75.0,600.0,0.07,0.12,0.38,4.99,0.0,1500.0
171,1158662,0.5,True,De Baarsjes - Oud-West,52.36042,4.86161,Entire home/apt,2,1,1,12,285.0,3,30,True,0,0,4.86,True,142.5,855.0,0.13,0.28,0.32,4.99,0.0,1404.073482428115
172,1162769,0.41000000000000003,True,Oud-Oost,52.35823,4.92035,Entire home/apt,4,2,4,15,295.0,4,1125,True,0,0,4.82,True,73.75,1180.0,0.09,0.11,0.26,4.99,0.4438356164383562,1475.0
173,1174506,0.08000000000000002,True,De Pijp - Rivierenbuurt,52.35043,4.90079,Entire home/apt,2,1,1,9,120.0,4,30,True,0,0,4.95,True,60.0,480.0,0.06,0.12,0.17,4.99,0.0,600.0
174,1182421,0.56,True,Oud-Noord,52.39259,4.91565,Entire home/apt,4,2,3,2,90.0,4,1125,True,0,0,4.5,True,22.5,360.0,0.06,0.1,0.16,4.99,0.030136986301369864,551.1095890410959
175,1195666,0.63,True,De Baarsjes - Oud-West,52.36501,4.87918,Entire home/apt,4,2,4,12,386.0,5,25,True,1,0,4.89,True,96.5,1930.0,0.12,0.18,0.22,4.99,0.3095890410958904,1894.1780821917807
176,1224695,0.4,True,De Baarsjes - Oud-West,52.37006,4.85853,Entire home/apt,2,1,1,7,150.0,8,1123,True,0,0,4.77,True,75.0,1200.0,0.06,0.16,0.24,4.99,0.1643835616438356,789.4931506849315
177,1225622,0.6,True,De Baarsjes - Oud-West,52.35936,4.86001,Entire home/apt,4,2,3,11,160.0,5,30,True,0,0,4.92,True,40.0,800.0,0.09,0.13,0.22,4.99,0.005479452054794521,883.9041095890411
178,1236227,1.0,True,Centrum-West,52.36646,4.88235,Entire home/apt,4,2,2,23,434.0,1,365,True,2,3,4.52,True,108.5,434.0,0.1,0.14,0.29,10.99,0.0,2585.8333333333335
179,1250364,0.15,True,De Pijp - Rivierenbuurt,52.35263,4.89093,Entire home/apt,4,2,3,10,260.0,3,1125,True,0,0,4.84,True,65.0,780.0,0.07,0.16,0.23,4.99,0.40821917808219177,1300.0
180,1250716,,True,De Baarsjes - Oud-West,52.36647,4.85138,Entire home/apt,4,2,2,8,180.0,5,1124,True,0,0,4.77,True,45.0,900.0,0.08,0.12,0.18,4.99,0.4821917808219178,900.0
181,1260229,1.0,True,Centrum-West,52.383,4.89161,Entire home/apt,2,1,3,6,190.0,3,30,True,1,0,4.74,True,95.0,570.0,0.07,0.15,0.15,4.99,0.005479452054794521,861.2328767123288
182,1271700,0.44,True,De Baarsjes - Oud-West,52.36062,4.86901,Entire home/apt,4,2,3,10,300.0,3,14,True,0,1,4.86,True,75.0,900.0,0.13,0.23,0.23,4.99,0.00821917808219178,1500.0
183,1272352,1.0,True,Bos en Lommer,52.37537,4.86019,Private room,2,1,1,7,127.0,3,100,True,0,4,4.67,True,63.5,381.0,0.07,0.13,0.15,4.99,0.4449760765550239,657.9425837320574
184,1291054,1.0,True,Noord-West,52.42397,4.88864,Hotel room,2,1,1,1,81.0,3,60,True,1,1,4.51,True,40.5,243.0,0.06,0.11,0.16,4.99,0.7808219178082192,398.1917808219178
185,1311373,0.25,True,De Baarsjes - Oud-West,52.37108,4.87389,Entire home/apt,4,2,6,2,280.0,4,1125,True,0,0,4.89,True,70.0,1120.0,0.09,0.22,0.2,4.99,0.0136986301369863,1445.2876712328766
186,1315392,0.6599999999999999,True,Centrum-West,52.38123,4.88619,Entire home/apt,2,1,1,4,140.0,7,180,True,2,1,4.75,True,70.0,980.0,0.06,0.16,0.15,4.99,0.5123287671232877,532.5342465753424
187,1316990,0.53,True,Centrum-West,52.38145,4.8849,Entire home/apt,4,2,2,8,196.0,7,180,True,2,2,4.82,True,49.0,1372.0,0.06,0.17,0.19,4.99,0.07945205479452055,913.082191780822
188,1320353,0.25,True,Centrum-West,52.3815,4.88538,Entire home/apt,2,1,1,1,110.0,7,180,True,12,0,4.9,True,55.0,770.0,0.07,0.14,0.18,4.99,0.684931506849315,566.986301369863
189,1320438,0.17,True,Centrum-West,52.3814,4.88553,Entire home/apt,2,1,1,11,125.0,7,180,True,4,0,4.88,True,62.5,875.0,0.05,0.15,0.18,4.99,0.6904109589041096,625.0
190,1321735,0.62,True,Centrum-West,52.38295,4.88765,Entire home/apt,3,2,2,6,160.0,7,180,True,10,0,4.62,True,53.33,1120.0,0.07,0.14,0.19,4.99,0.6465753424657534,540.3013698630137
191,1323521,,True,Westerpark,52.37639,4.87637,Entire home/apt,4,2,3,14,175.0,3,1125,True,0,0,4.67,True,43.75,525.0,0.07,0.18,0.23,4.99,0.0,875.0
192,1331157,0.29,True,IJburg - Zeeburgereiland,52.34861,5.00784,Entire home/apt,4,2,3,9,193.0,3,14,True,0,0,4.87,True,48.25,579.0,0.08,0.18,0.2,4.99,0.4410958904109589,963.013698630137
